from,to,start,end
CLT,CHS,1353415500,1353419880
CLT,CHA,1353463200,1353466380
CLT,CRW,1353469200,1353472680
CLT,DCA,1353410760,1353415800
CLT,DCA,1353414360,1353418140
CLT,GSP,1353414720,1353417120
CLT,ILM,1353417840,1353421620
CLT,JAN,1353468120,1353474660
CLT,JFK,1353414960,1353421140
CLT,MCI,1353413700,1353424080
CLT,LYH,1353468780,1353472200
CLT,MCO,1353467340,1353472920
CLT,MEM,1353451980,1353457920
CLT,MYR,1353461400,1353463980
CLT,MYR,1353415440,1353419640
CLT,MOB,1353469200,1353475740
CLT,ORD,1353460920,1353468060
CLT,PGV,1353468780,1353472440
CLT,PHF,1353469320,1353472980
CLT,PHF,1353414840,1353419340
CLT,RDU,1353414720,1353417540
CLT,ROA,1353468660,1353471960
CLT,RSW,1353467460,1353473520
CLT,TPA,1353416280,1353423300
CLT,TLH,1353420540,1353425400
CLT,TYS,1353463740,1353466680
CLT,TYS,1353414840,1353418320
CMH,DTW,1353423180,1353427620
CMH,DCA,1353413940,1353419520
CMH,LGA,1353449820,1353455700
CMH,MDW,1353462120,1353465780
CMH,IAH,1353408660,1353419280
CMH,PHL,1353460380,1353465780
CVG,DCA,1353461460,1353466200
CVG,PHL,1353460980,1353467160
CVG,ORD,1353438300,1353442980
DAL,AMA,1353464880,1353468900
DAL,AUS,1353462000,1353464880
DAL,AUS,1353468840,1353471720
DAL,AUS,1353418140,1353420660
ORD,OKC,1353432480,1353439080
DAY,ORD,1353418140,1353421560
DCA,BDL,1353466440,1353470520
DCA,ATL,1353434160,1353440520
DCA,BNA,1353430080,1353436980
DCA,BOS,1353463200,1353467460
DCA,CAK,1353463440,1353467340
DCA,CRW,1353420240,1353426180
DCA,DTW,1353425640,1353431700
DCA,DTW,1353467640,1353472980
DCA,HPN,1353414780,1353419400
DCA,IND,1353426600,1353432480
DCA,LGA,1353463500,1353467100
DCA,OAJ,1353462540,1353466680
DCA,PHL,1353466020,1353469260
DCA,PIT,1353411300,1353415080
DCA,TYS,1353417540,1353423360
DEN,BIL,1353423060,1353428100
DEN,BIS,1353423060,1353428880
DEN,ICT,1353423300,1353427560
DEN,MAF,1353469800,1353475500
DEN,MIA,1353482340,1353494820
DEN,MSP,1353417540,1353424740
DEN,MTJ,1353464220,1353467340
DEN,OMA,1353463800,1353468540
DEN,PHX,1353422580,1353429120
DEN,RKS,1353426120,1353430620
DEN,SEA,1353462840,1353472800
DEN,SDF,1353435240,1353443880
DFW,ABQ,1353428820,1353435360
DFW,BHM,1353464220,1353469740
DFW,ATL,1353428400,1353434040
DFW,AUS,1353470400,1353473280
DFW,CLT,1353416640,1353425460
DFW,CLT,1353453720,1353462180
DFW,CMH,1353463260,1353471480
DFW,GRR,1353443760,1353452700
DFW,IAH,1353430440,1353434100
DFW,IAH,1353409980,1353413340
DFW,LAS,1353474000,1353483420
DFW,LGA,1353413640,1353424020
DFW,LGA,1353456000,1353468060
DFW,MIA,1353456840,1353466680
DFW,ONT,1353437400,1353449160
DFW,SAN,1353423600,1353434040
DFW,SFO,1353417000,1353431400
DFW,SNA,1353418560,1353429300
DFW,LBB,1353430620,1353434340
CLL,DFW,1353436020,1353439260
DTW,BGR,1353465240,1353472260
DTW,CMH,1353466440,1353468900
DTW,CLT,1353410400,1353417000
DTW,DCA,1353460260,1353466380
DTW,EWR,1353421260,1353426480
DTW,IAD,1353465360,1353470760
DTW,MEM,1353418620,1353425700
DTW,MKE,1353461220,1353464400
DTW,OMA,1353418200,1353425520
DTW,ORD,1353461160,1353464940
DTW,ORD,1353423840,1353427260
ELM,PHL,1353408120,1353411960
EWB,ACK,1353422460,1353423960
EWR,ATL,1353462360,1353470460
EWR,ATL,1353409560,1353417240
EWR,BDL,1353418380,1353422400
EWR,CLT,1353417060,1353423960
EWR,DFW,1353418080,1353430920
EWR,MDW,1353409020,1353416760
EWR,MHT,1353467700,1353470880
EWR,PHL,1353412140,1353414780
EWR,PVD,1353418920,1353423120
EWR,PIT,1353466260,1353470460
EWR,SDF,1353463320,1353470940
EYW,MIA,1353459300,1353462060
EYW,RSW,1353435300,1353438300
FAY,CLT,1353413400,1353416460
FLL,ATL,1353466920,1353472860
FLL,ATL,1353419880,1353427200
FLL,BWI,1353415980,1353424740
FLL,DEN,1353470400,1353483360
FLL,DTW,1353413700,1353426180
FLL,EWR,1353475200,1353484740
FLL,JFK,1353466620,1353475680
FLL,TPA,1353421200,1353425940
FLL,TPA,1353414720,1353417720
ORD,RDU,1353433200,1353439620
AZO,ORD,1353427080,1353429660
TUL,ORD,1353427500,1353433920
MSY,ORD,1353430380,1353438720
ORD,EWR,1353426900,1353435120
FWA,DTW,1353423900,1353427080
DFW,SHV,1353428760,1353431520
XNA,DFW,1353421740,1353425400
SHV,DFW,1353433380,1353436740
GRR,CVG,1353420300,1353424680
GRR,DTW,1353424860,1353427500
SDF,DFW,1353434280,1353442020
GSO,CLT,1353427620,1353430980
GSO,DCA,1353406740,1353411240
GSO,PHL,1353422460,1353428100
GSP,ATL,1353424860,1353428100
GSP,CLT,1353405840,1353407700
ORD,OMA,1353436020,1353440700
HOU,DAL,1353463440,1353466680
HOU,LAX,1353461940,1353474120
HOU,TPA,1353464220,1353470640
HPN,LEB,1353454200,1353458700
HPN,LEB,1353439200,1353443400
HPN,PHL,1353426780,1353429420
HYA,ACK,1353423000,1353424500
HYA,ACK,1353426300,1353427380
HYA,ACK,1353430320,1353431460
IAD,CRW,1353417900,1353422280
IAD,SHD,1353423420,1353425880
IAH,AUS,1353461160,1353463920
IAH,CLT,1353416400,1353424440
IAH,DFW,1353462600,1353465060
IAH,LAS,1353417000,1353428580
IAH,LCH,1353422760,1353425700
IAH,LCH,1353466560,1353468840
IAH,LFT,1353466740,1353469680
IAH,LFT,1353425760,1353428760
IAH,MSY,1353461040,1353464460
IAH,ONT,1353466920,1353478620
IAH,OMA,1353422580,1353430860
LBB,DFW,1353430020,1353433620
LAX,DEN,1353426540,1353434400
IND,DCA,1353413880,1353419760
IND,LGA,1353421860,1353428940
IND,ORD,1353423720,1353427320
ISP,BWI,1353421320,1353425100
ITH,PHL,1353430740,1353435060
JAC,DEN,1353442200,1353446760
JAN,DFW,1353453900,1353459660
JAX,ATL,1353460800,1353464760
JAX,CLT,1353413100,1353418620
JAX,DFW,1353413460,1353425220
CLT,LGA,1353409200,1353415200
JFK,BOS,1353466200,1353470460
JFK,BOS,1353411060,1353414600
JFK,DCA,1353449400,1353453720
JFK,CVG,1353444840,1353452520
JFK,LAX,1353464340,1353484740
JFK,MIA,1353416880,1353430020
FAR,ORD,1353435660,1353442320
CMH,JFK,1353433980,1353440940
JFK,MSP,1353416880,1353426780
JFK,PIT,1353443340,1353448740
JFK,ROC,1353469200,1353472920
ATL,ORD,1353435480,1353442380
LAS,DEN,1353419760,1353426060
LAS,DTW,1353484560,1353498120
LAS,PHX,1353420060,1353424020
ORD,ATL,1353425760,1353432000
LAX,DFW,1353427080,1353437820
LAX,EWR,1353479280,1353498720
LAX,FAT,1353465480,1353469080
LAX,LAS,1353427620,1353431640
DCA,ORD,1353431880,1353438120
SLC,ORD,1353436200,1353447300
ATL,LGA,1353429900,1353437460
LAX,SAN,1353461460,1353464280
LAX,SBA,1353470400,1353472860
LAX,SBA,1353429720,1353431880
LEB,BOS,1353448800,1353451200
LEB,HPN,1353431700,1353435900
LEX,ORD,1353423480,1353427920
LFT,IAH,1353410040,1353413520
LFT,IAH,1353414840,1353418620
LGA,BOS,1353415980,1353419220
LGA,BOS,1353462720,1353466500
LGA,CMH,1353425040,1353431700
LGA,DCA,1353462600,1353467640
LGA,DFW,1353426840,1353439620
LGA,FLL,1353464580,1353474180
LGA,MCI,1353423060,1353435240
LGA,MIA,1353426660,1353437820
LGA,MSP,1353416100,1353426540
LGA,MSY,1353414360,1353426960
LGA,ORD,1353466200,1353472740
LGA,RDU,1353456240,1353462180
LGA,SYR,1353467820,1353471060
LGB,SEA,1353464100,1353473700
LIT,IAH,1353414540,1353419460
MAF,DFW,1353450780,1353455520
MAF,LAS,1353426180,1353433500
MBS,DTW,1353430080,1353432660
MCI,DAL,1353463260,1353467640
MCI,PHX,1353412680,1353422280
MCI,PHX,1353466740,1353475500
MCO,BDL,1353414960,1353424080
MCO,CLT,1353418200,1353423420
MCO,DCA,1353462420,1353469500
MCO,DTW,1353423000,1353431700
MCO,LAX,1353413280,1353433440
MCO,JFK,1353461700,1353469500
MCO,MDW,1353415980,1353426120
MCO,MDW,1353462420,1353471960
MCO,PHL,1353416340,1353424920
MDT,IAD,1353460560,1353462780
MDT,PHL,1353407160,1353409680
MDW,STL,1353466140,1353469200
MDW,STL,1353419220,1353422640
MEM,DFW,1353460920,1353466560
MEM,MSY,1353462060,1353466560
MFE,DFW,1353424140,1353429360
MFR,SFO,1353430980,1353437280
MGM,ATL,1353425040,1353428820
MIA,ATL,1353420000,1353427140
MIA,LAX,1353437940,1353457920
MIA,ORD,1353464460,1353475380
MIA,PHL,1353467520,1353477060
MIA,PHL,1353437760,1353446880
MIA,TPA,1353414240,1353417540
ATL,ORD,1353427980,1353435000
MKE,ORD,1353460440,1353463860
MKE,PHL,1353409980,1353417180
XNA,ORD,1353418500,1353424140
AUS,ORD,1353437220,1353446520
MOB,ATL,1353417000,1353421560
MRY,LAX,1353471900,1353475320
MSN,DTW,1353423300,1353426840
MSN,DTW,1353457560,1353461820
MSN,ORD,1353468180,1353470700
MSP,CWA,1353461280,1353464040
MSP,DEN,1353461400,1353468120
MSP,FNT,1353462240,1353467820
MSP,GFK,1353468960,1353473040
MSP,MKE,1353417540,1353421980
MSP,MKE,1353460860,1353464760
MSP,MDW,1353421500,1353426360
MSP,MSN,1353461640,1353465900
MSP,ORD,1353423720,1353429240
DSM,ORD,1353429180,1353434040
MSY,ATL,1353421740,1353426420
MSY,DAL,1353463920,1353468480
MSY,CLT,1353412500,1353419220
MSY,IAH,1353410280,1353414480
MSY,MSP,1353416100,1353425820
MSY,TPA,1353422340,1353427260
MVY,EWB,1353451920,1353452760
MVY,ACK,1353432360,1353433320
ORD,PHL,1353428820,1353435360
ELP,ORD,1353419820,1353430680
ORD,AUS,1353425220,1353434220
ORD,IAH,1353420900,1353430020
OAK,RNO,1353471300,1353474060
OGS,ALB,1353434100,1353438000
OKC,ATL,1353414240,1353421440
OKC,DAL,1353462300,1353465000
OKC,IAH,1353460620,1353464880
OMA,ATL,1353411660,1353420060
OMA,DEN,1353462240,1353467460
OMA,STL,1353439440,1353443280
ONT,LAS,1353471240,1353474720
ONT,SJC,1353421500,1353425580
ORD,ATL,1353412740,1353419040
ORD,ATL,1353424320,1353430680
ORD,BOS,1353460140,1353468240
ORD,BWI,1353444540,1353451260
ORD,BWI,1353432180,1353438600
ORD,CAK,1353466800,1353471600
ORD,CLT,1353418680,1353425700
ORD,CWA,1353453600,1353457500
ORD,DAY,1353469020,1353472260
ORD,DEN,1353464880,1353472440
ORD,FAR,1353420000,1353426180
ORD,FSD,1353463620,1353469020
ORD,GRR,1353462180,1353464580
ORD,IAH,1353445680,1353453660
ORD,ICT,1353419040,1353425340
ORD,IND,1353462480,1353465180
ORD,LAN,1353466800,1353470820
ORD,LGA,1353461220,1353468180
ORD,LIT,1353418020,1353424680
ORD,LGA,1353439740,1353447240
ORD,MCI,1353464640,1353469500
ORD,MDT,1353416340,1353422340
ORD,MEM,1353420960,1353426480
ORD,MEM,1353466680,1353472200
ORD,MSN,1353468360,1353470880
ORD,MSP,1353460860,1353465600
ORD,PIA,1353438600,1353441660
ORD,PHL,1353448680,1353455880
ORD,PWM,1353420000,1353427680
ORD,RST,1353462660,1353466980
ORD,SGF,1353463740,1353468480
ORD,SLC,1353417780,1353429240
ORD,TUL,1353464220,1353469800
ORD,TVC,1353463500,1353467400
ORF,ATL,1353408000,1353414180
OWB,STL,1353447600,1353452520
PDX,GEG,1353460800,1353464520
PDX,LAX,1353421740,1353430500
PDX,OAK,1353466080,1353472200
PDX,PSC,1353467220,1353469980
PDX,SLC,1353462540,1353468000
HOU,DFW,1353427980,1353431400
ORD,FWA,1353432420,1353435060
PHL,ABE,1353469620,1353471360
PHL,ALB,1353469440,1353472980
PHL,AVP,1353461460,1353464040
PHL,AVP,1353469440,1353471840
PHL,BDL,1353461640,1353465120
PHL,BWI,1353462720,1353465660
PHL,CHS,1353414360,1353421140
PHL,ISP,1353462300,1353465960
PHL,MKE,1353415800,1353423360
PHL,ORF,1353461400,1353465000
PHL,ORD,1353461700,1353469020
PHL,PIT,1353461400,1353465420
PHL,RDU,1353461280,1353465900
PHX,DFW,1353476340,1353483600
PHX,DEN,1353478680,1353484860
PHX,HOU,1353462540,1353470820
PHX,LAX,1353418200,1353422700
PIT,DCA,1353408180,1353411600
PIT,DCA,1353415920,1353419880
PIT,EWR,1353461100,1353465660
PIT,PHL,1353406740,1353410400
PSC,SLC,1353417480,1353422940
PSC,SEA,1353460920,1353463740
DSM,DFW,1353434040,1353439800
PUW,LWS,1353483240,1353484560
PVD,BWI,1353418440,1353423540
PVC,BOS,1353423600,1353425100
PVC,BOS,1353410100,1353411900
RDU,BOS,1353461040,1353466740
RDU,DCA,1353461700,1353465480
RDU,IAH,1353407400,1353418380
RDU,PHL,1353416640,1353421080
RIC,LGA,1353422940,1353427140
RIC,CLT,1353406680,1353411900
RIC,PHL,1353407760,1353411480
RKD,BOS,1353427320,1353430980
ROA,ATL,1353413280,1353417600
ROC,JFK,1353421380,1353425640
ROC,PHL,1353406500,1353410760
ROC,IAD,1353424080,1353428640
RSW,ATL,1353413520,1353419820
RSW,CMH,1353413460,1353422160
RSW,EYW,1353456000,1353459600
RSW,EYW,1353427200,1353430800
SAN,LAS,1353467040,1353470700
SAN,LAX,1353470220,1353472740
SAN,PHX,1353421440,1353426480
SAT,MSP,1353413940,1353424500
SAT,PHX,1353467940,1353477060
SAV,CLT,1353407040,1353411300
SBA,LAX,1353469500,1353472140
SBN,ORD,1353460380,1353462660
SBY,PHL,1353414480,1353417540
SCE,PHL,1353414960,1353418620
SDF,ORD,1353452760,1353457680
SEA,DEN,1353420360,1353429360
SEA,GEG,1353455820,1353459360
SEA,OAK,1353464340,1353471660
SEA,PHX,1353471300,1353481320
SFO,DEN,1353424440,1353432060
SFO,LAX,1353425760,1353430380
SFO,RNO,1353489180,1353492780
SHD,IAD,1353460500,1353463560
SLC,DEN,1353417900,1353422460
DTW,LGA,1353429480,1353435300
SMX,LAX,1353419040,1353422580
SNA,EWR,1353475860,1353494100
STL,CGI,1353425580,1353428880
STL,CLT,1353412620,1353419040
STL,OWB,1353433500,1353438000
STL,OWB,1353454200,1353458700
ORD,DTW,1353438060,1353442020
SYR,ORD,1353447240,1353454980
SYR,JFK,1353408900,1353413280
TPA,ATL,1353414720,1353420060
TPA,CVG,1353417600,1353424680
TPA,FLL,1353462840,1353466200
TPA,FLL,1353413640,1353417420
TPA,JFK,1353463800,1353472020
TPA,PHX,1353461160,1353477180
TUS,LAS,1353418380,1353422400
TUS,DEN,1353419700,1353426360
TUS,PHX,1353463200,1353467100
TUS,PHX,1353472920,1353475080
TYR,DFW,1353458100,1353460560
TYS,DCA,1353413640,1353419760
DCA,JFK,1353433740,1353437880
JFK,DCA,1353426900,1353430560
SGF,ORD,1353433320,1353438720
AMA,DFW,1353437520,1353441420
ORD,CLE,1353435960,1353440340
DFW,CVG,1353439440,1353447840
CLT,ORD,1353436500,1353443100
DFW,LBB,1353439080,1353442380
ATL,LGA,1353435060,1353442680
BTR,DFW,1353428340,1353433440
DFW,BTR,1353421560,1353426180
DFW,GRI,1353437580,1353444060
BTR,DFW,1353414000,1353419040
MIA,PNS,1353424860,1353432000
PNS,MIA,1353434640,1353441300
DCA,RDU,1353434640,1353437940
MDT,ORD,1353434760,1353441180
BRO,DFW,1353435840,1353441000
SJT,DFW,1353413520,1353417000
JAN,DFW,1353433620,1353439020
BHM,DFW,1353426900,1353434160
DTW,ORD,1353433380,1353437700
PIA,DFW,1353436260,1353442800
SYR,ORD,1353436560,1353442860
EWR,ORD,1353438720,1353446880
HSV,ORD,1353434340,1353440400
DFW,CRP,1353435900,1353439380
CMI,ORD,1353433980,1353437280
ORD,PIT,1353439620,1353443940
ORD,PIT,1353419520,1353423720
DSM,ORD,1353439440,1353444000
DFW,VPS,1353439500,1353445620
MHK,ORD,1353415620,1353421800
ORD,LIT,1353439920,1353445680
ORD,PIT,1353434640,1353439620
ORD,CWA,1353419280,1353421920
PIT,ORD,1353425220,1353430860
CLE,ORD,1353437280,1353441480
ORD,CLE,1353431220,1353435720
CMH,ORD,1353413040,1353417840
SDF,MIA,1353440880,1353448800
DTW,ORD,1353438360,1353442800
CMH,ORD,1353424500,1353428880
CMI,ORD,1353424080,1353427260
ORD,DTW,1353431940,1353435780
MKE,DFW,1353427740,1353436260
DCA,BNA,1353437820,1353444540
ORD,OKC,1353423780,1353430440
DFW,MKE,1353417540,1353426300
GNV,MIA,1353435840,1353440100
MIA,SDF,1353429000,1353438960
BHM,MIA,1353440880,1353447240
LGA,ATL,1353440460,1353449040
LGA,RDU,1353430740,1353436800
RDU,LGA,1353439320,1353444780
ORD,XNA,1353436140,1353441840
BNA,LGA,1353441660,1353448200
BTR,DFW,1353440460,1353445800
DFW,BTR,1353434400,1353438780
TYR,DFW,1353440400,1353443040
DFW,DSM,1353435900,1353442620
ORD,CHO,1353440160,1353445980
JAX,MIA,1353436560,1353441180
LBB,DFW,1353435840,1353439560
ORD,MDT,1353442200,1353447960
EYW,MIA,1353438540,1353441420
DFW,SHV,1353439860,1353442800
LAX,DEN,1353435900,1353443760
DEN,ORD,1353441420,1353450660
RDU,LGA,1353434220,1353440280
STL,DCA,1353433560,1353440340
BNA,DCA,1353438960,1353444840
MIA,EYW,1353433440,1353436260
MIA,EYW,1353422940,1353425940
BNA,LGA,1353428700,1353435360
BWI,JFK,1353440700,1353446460
CMH,LGA,1353436740,1353442560
ORD,SYR,1353439500,1353445440
DCA,STL,1353442620,1353450420
DFW,HOU,1353438180,1353441900
IND,MIA,1353441300,1353452160
MIA,CLT,1353438960,1353446040
JFK,RDU,1353440580,1353446820
PHL,ORD,1353439860,1353446880
DFW,GRK,1353438840,1353441300
SEA,SAN,1353425340,1353435300
SHV,DFW,1353440160,1353443400
MHK,ORD,1353438240,1353443700
DFW,AMA,1353437640,1353442560
AMA,DFW,1353444240,1353447960
BNA,ORD,1353442740,1353447780
LAX,OKC,1353433140,1353443100
OKC,LAX,1353416280,1353426840
DFW,CID,1353442680,1353450360
MAF,DFW,1353415860,1353419880
GJT,DFW,1353440820,1353447960
DFW,LIT,1353417780,1353422040
MAF,DFW,1353433380,1353438000
DFW,CVG,1353415320,1353423060
CLT,MIA,1353436440,1353444000
CLE,LGA,1353437820,1353443400
DFW,LIT,1353435780,1353439620
DFW,LIT,1353443280,1353447660
RAP,DFW,1353445320,1353452580
DFW,SAV,1353441720,1353449400
DFW,GRK,1353444480,1353446580
DFW,MHK,1353445260,1353450420
ORD,CVG,1353445140,1353448920
CRP,DFW,1353423960,1353429000
FSM,DFW,1353428340,1353431280
SGF,DFW,1353413880,1353418200
DFW,XNA,1353449400,1353453420
DFW,CID,1353436500,1353444480
LIT,DFW,1353441780,1353445800
DFW,RAP,1353434520,1353443520
CMH,LGA,1353442680,1353448740
MKE,DFW,1353437760,1353445320
RDU,LGA,1353463860,1353468600
ABI,DFW,1353440760,1353443700
ORD,BNA,1353428580,1353433620
DFW,CVG,1353430380,1353438000
CVG,DFW,1353440040,1353448200
LBB,DFW,1353416460,1353419940
ACT,DFW,1353444960,1353447300
DFW,ABI,1353436260,1353439200
ATL,ORD,1353444060,1353450600
JFK,CLE,1353440580,1353446040
OKC,ORD,1353442680,1353449880
ORD,XNA,1353443580,1353450660
MGM,DFW,1353431460,1353438780
MLU,DFW,1353429660,1353433800
DFW,LRD,1353436800,1353441540
DFW,MLU,1353425040,1353428580
GRK,DFW,1353418380,1353422100
DFW,PNS,1353430080,1353435600
DFW,MGM,1353423000,1353429720
SAT,ORD,1353442140,1353451800
VPS,DFW,1353447180,1353455400
MSP,MIA,1353417420,1353431640
DFW,MSP,1353467220,1353474660
ORD,MSP,1353423240,1353429060
DFW,MSP,1353417300,1353426060
MSP,DFW,1353428520,1353436620
MSP,ORD,1353431340,1353436620
ORD,MSP,1353440940,1353445080
LGA,MSP,1353438900,1353448440
MSP,LGA,1353423840,1353432900
MSP,ORD,1353428400,1353434040
MSP,LGA,1353452400,1353461280
MSP,LGA,1353443880,1353453960
MSP,ORD,1353448020,1353453300
MSP,ORD,1353461640,1353466560
DCA,BNA,1353445500,1353451800
GSO,MIA,1353418320,1353425760
RDU,DCA,1353440220,1353443220
SEA,GEG,1353470280,1353473280
SEA,ONT,1353453540,1353462660
PHX,SEA,1353442980,1353452700
PHX,SEA,1353419820,1353429840
